user,text,created_at
R_Ramba09,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
marciov01210938,"RT @revistaforum: Albergue de SP tem questionado Covas e Doria sobre estratégias para lidar com o coronavírus, mas não há resposta. A capit…",2020-03-20
mavdarctic,Que povo IGNORANTE meu deus que raivaaaaa porra não é difícil entender que o coronavirus não foi um plano da china pra prejudicar a economia caralho povo burro quanto mais fala a verdade mais fica bostejando mentira,2020-03-20
selecoesbrasil,"https://t.co/galUHwTKHQ
Ford suspende produção na América do Sul contra o coronavírus",2020-03-20
tbnaomateijoana,"RT @dw_brasil: Mortes por #coronavirus passam de 10 mil no mundo: 
casos diagnosticados de #COVID19 são mais de 244 mil, e mais de 86 mil p…",2020-03-20
_millyds,RT @IdcAboutU: Espalhem agora essa merda com a rapidez que espalharam o coronavirus caralho,2020-03-20
inhamaria,"Midway fechado por tempo indeterminado 
.
.
.
#tabaratodemaisoficial #corona #coronavirusbrazil #quarentena em Natal, Rio Grande do Norte https://t.co/PPQdK3V9OF",2020-03-20
idkbutIdcare,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
ptribeirao,"Coreia do Norte batalha contra coronavírus apesar de sanções | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/RAaUaGJWQl

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT",2020-03-20
petranael,"RT @maiconkusterkkk: pq q os cara quer tanto chamar coronavirus de ""vírus chines""? kkkkkkkkkkk

""ah pq veio de la"" beleza mano yakisoba tb…",2020-03-20
luizfranciscofp,RT @Gremio: Precisamos nos manter atentos ao adversário nesta luta contra o #Coronavirus! E é por este motivo que o Tricolor @FabricioWerdu…,2020-03-20
BeeSantos__,RT @geocaio: Daniel caindo na prova do líder é Deus dando a nós um sopro de felicidade em época de coronavirus,2020-03-20
Isabellisima15,"RT @carlajimenez9: Há médicos chineses desembarcando na Itália, que já perdeu 3405 pessoas p o coronavírus. Vão levar sua experiência de co…",2020-03-20
Carmenalde,RT @GuaroSocialLar1: Feliz Dia  📢  #LaSolidaridadVenceAlCoronavirus,2020-03-20
botsensacional,União tem mais de 10 cm dos servidores no grupo de risco para o coronavírus https://t.co/iwG1YkfDkK https://t.co/MaXS1gScfO,2020-03-20
ramon_augusto_,RT @alefrota77: Vamos falar a verdade Bolsonaro trouxe um avião de Coronavirus p Brasil.,2020-03-20
moema4,"RT @LekkoMr: Curioso é ver Eduardo bolsonaro dizendo q China ocultou dados do Coronavírus, qd, na vdd, é o que ele e sua família fazem: neg…",2020-03-20
renatoptrindade,"RT @brumelianebrum: ""Primeira morte do Rio por coronavírus, doméstica não foi informada de risco de contágio pela patroa”
https://t.co/YhjJ…",2020-03-20
ptribeirao,"Amazonenses vivenciam medo da chegada do coronavírus | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/gm4nGr37SW

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT",2020-03-20
quero1userlarry,RT @alefrota77: Vamos falar a verdade Bolsonaro trouxe um avião de Coronavirus p Brasil.,2020-03-20
Ademir1956Ap,"RT @samiabomfim: Testar, testar e testar. É fundamental termos o diagnóstico do coronavírus para podermos controlar a pandemia. Apresentei…",2020-03-20
hstcris,"RT @dw_brasil: Mortes por #coronavirus passam de 10 mil no mundo: 
casos diagnosticados de #COVID19 são mais de 244 mil, e mais de 86 mil p…",2020-03-20
marcosamdb,"Escutando o viral global do spotify quando vejo vem uma música sobre o coronavirus, o ser humano merece se fuder mesmo",2020-03-20
TinaCorrente,"RT @LekkoMr: Curioso é ver Eduardo bolsonaro dizendo q China ocultou dados do Coronavírus, qd, na vdd, é o que ele e sua família fazem: neg…",2020-03-20
nicosbandito,"RT @bielsiqueiraRJ: “Fiquem tranquilos , nosso governo está pronto para enfrentar o coronavírus”

O governo:

COVID-19 #NaQuarentenaEu #vir…",2020-03-20
xxx_monaaaa,"RT @CoronavirusBra1: Espanha registra 1.903 novos casos de #coronavirus e 169 novas mortes, elevando o total para 19.980 casos e 1.002 mort…",2020-03-20
Mariael54808287,"RT @CeliaNacarato: Bolsonaro é cobrado a fazer exames para detectar o coronavirus. Ja fez dois e fará um terceiro. E o corrupto, q voltou d…",2020-03-20
espacoecologico,"Novo coronavírus pode ter surgido antes de dezembro, de acordo com o jornal South China Morning Post https://t.co/HxQLhtjqQM",2020-03-20
gabiirobine,"RT @folha: RELEMBRE FRASES DE BOLSONARO SOBRE O CORONAVÍRUS

""Está superdimensionado""
""É muito mais fantasia""
""Outras gripes mataram mais""…",2020-03-20
PedroVictorMa12,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
csn056,RT @republica_ctba: Trump sobe o tom: “Vamos chamar o Coronavírus de Vírus Chinês” https://t.co/pFHQbed8ym,2020-03-20
JooCesa29999706,"RT @jairbolsonaro: Mais ações do Governo Federal, envolvendo o @minsaude no enfrentamento do coronavírus:

1- R$432 milhões destinados a es…",2020-03-20
MelWitch,"RT @saudepoa: Situação do #coronavírus em Porto Alegre em 20/03. #Atualização

▶️ 39 casos suspeitos
❌ 166 casos descartados
▶️ 23 casos co…",2020-03-20
ElielRSiqueira,"RT @minsaude: O @minsaude atualiza a situação do #coronavírus no Brasil, em 19/03, às 17h06:

▶️621 casos confirmados
▶️6 óbitos

🔘Região N…",2020-03-20
anthony31881093,"RT @CoronavirusBra1: Linha do tempo do #coronavirus no mundo:

- 19 de janeiro: 100 casos
- 24 de janeiro: 1.000 casos
- 28 de janeiro: 5.0…",2020-03-20
aaaibaby,RT @cristinaarfrei1: Porque as pessoas estão estocando papel higiênico? O coronavirus entra pela bunda?,2020-03-20
AdsumP,RT @ptribeirao: Polônia está usando vodca confiscada para esterilizar tudo contra coronavírus | publicado em Blogosfera da Rede PT - Rede P…,2020-03-20
carsanchez19991,"RT @EstadaoEconomia: Com coronavírus, comércio já demite; cortes podem atingir 5 milhões no País

https://t.co/ifp8Dq2EIt",2020-03-20
Flaviobusicchia,"RT @delucca: Falta teste de coronavírus no Brasil porque o Bolsonaro está fazendo todos

https://t.co/Ipy27f7fLV",2020-03-20
Gra_Albino,"RT @camargofeli: #TBTricolor 
Em uma época que não existia Coronavirus, mas existia estádio Olímpico!😭
O TBT de hoje é da reportagem da Glo…",2020-03-20
agimediata,RT @agimediata: Wall Street está pressionando as principais empresas de saúde a aumentar os preços durante a crise do coronavírus. Áudio aq…,2020-03-20
Not_TodayArya,RT @alefrota77: Vamos falar a verdade Bolsonaro trouxe um avião de Coronavirus p Brasil.,2020-03-20
ateachermarta,RT @alefrota77: Vamos falar a verdade Bolsonaro trouxe um avião de Coronavirus p Brasil.,2020-03-20
isaquexd,"RT @CoronavirusBra1: Linha do tempo do #coronavirus no mundo:

- 19 de janeiro: 100 casos
- 24 de janeiro: 1.000 casos
- 28 de janeiro: 5.0…",2020-03-20
DefesadaPatria,"RT @CeliaNacarato: Bolsonaro é cobrado a fazer exames para detectar o coronavirus. Ja fez dois e fará um terceiro. E o corrupto, q voltou d…",2020-03-20
AALANCARLOSS,"RT @milenereis: H2N2 (1957-1958) 
H3N2 (1968-1969) 
H5N1 (1997-2004)
SARS (2003)
Coronavirus (2019)
TODAS essas epidemias se originaram na…",2020-03-20
analusouzax,"RT @bielsiqueiraRJ: “Fiquem tranquilos , nosso governo está pronto para enfrentar o coronavírus”

O governo:

COVID-19 #NaQuarentenaEu #vir…",2020-03-20
SturtSilva,RT @folha: Lula critica atuação de Bolsonaro na crise do coronavírus e elogia imprensa https://t.co/KnYmju8caG,2020-03-20
Reidosreis12,RT @godoy_mag: @laurojardim Está bem obrigado!Ex-presidente Lula testa negativo para Coronavírus após viagem internacional.Mesmo assim fica…,2020-03-20
juliocesaramor,"RT @tesoureiros: A campanha do @governope para prevenção contra o Coronavirus está simplesmente ESPETACULAR 👏👏
https://t.co/e7amir9wp0",2020-03-20
Rodrigo_SilvaPT,RT @TiagoRocha1904: Em Câmara de lobos o coronavirus não entra https://t.co/EsdtWNPuaX,2020-03-20
Enicomputer,"Anvisa aprova oito testes rápidos para Covid-19
© Divulgação/Josué Damacena (IOC/Fiocruz) (Reprodução)

Dados devem ser interpretados por um profissional de saúde

Publicado em 20/03/2020 - 09:08  #ANVISA #CORONAVÍRUS #covid19 #pandemia #SERVIÇO #tes https://t.co/V6R2Z1mJCu https://t.co/jso6qDEZ9A",2020-03-20
Fabiatriz,"Botei um pouco no ppv pra distrair a mente, sair um pouco do assunto coronavirus e torcer por Flay e Mari #bbb20",2020-03-20
Matheus75664969,Esse coronavirus podia esperar o aniversário da Mariana,2020-03-20
jornaldapb,João autoriza uso de força policial para conter avanço do coronavírus na Paraíba #jornaldapb https://t.co/wEKd7swiDe,2020-03-20
ptribeirao,"Distância de subalternos livrou Bolsonaro de coronavírus | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/wDTftLynl8

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT https://t.co/GunwF2fHWk",2020-03-20
allkar,"RT @TheNeott: #EduardoNaoMentiu

Charge de jornal dinamarquês sobre coronavírus irrita China.

O surto de pneumonia viral, que se originou…",2020-03-20
luiscmosquera,Macondiano CoronaVirus. @PrimoECosta,2020-03-20
PochacoReyes,RT @GuaroSocialLar1: Feliz Dia  📢  #LaSolidaridadVenceAlCoronavirus https://t.co/1q1mO8SmGW,2020-03-20
nathyribeirote2,"Coronavirus acabando eu vou dá tanto que não vou ter mais nem bct 
Tô nem aí",2020-03-20
classe_politica,"Para conter avanço do coronavírus, Estado limita transporte nas cidades de Itabuna, Ilhéus e Itacaré
https://t.co/bmqTZ0ed8V",2020-03-20
Gabriel41986703,"Palmeiras entra em contato com autoridades, e coloca guadra e toda estrutura a disposição para ajudar a combater o Coronavirus!!! ⚽️💚🐷⚽️🐷💚 https://t.co/3bzCWbqR2j",2020-03-20
Supervisora,"RT @seontasa: Lula sobre coronavírus: 'Primeiro salvamos o povo, depois a economia'
https://t.co/F8jX5xdkyJ",2020-03-20
PauloHe09290322,"Incrível alguém dizer que o coronavirus não existe q e só um jogo pra mexer com a economia, não e possível",2020-03-20
renanjordani,"Dentro de 3 semanas será melhor nos sentirmos ridículos por ter exagerado, que nos sentirmos estúpidos por não ter agido. #COVID2019 #coronavirus #StopTheSpread #StaySafeStayHome",2020-03-20
vivi_naves,"RT @brumelianebrum: ""Primeira morte do Rio por coronavírus, doméstica não foi informada de risco de contágio pela patroa”
https://t.co/YhjJ…",2020-03-20
GabrielAoS13,"RT @bielsiqueiraRJ: “Fiquem tranquilos , nosso governo está pronto para enfrentar o coronavírus”

O governo:

COVID-19 #NaQuarentenaEu #vir…",2020-03-20
maloooah,"RT @SPSobreTrilhos: URGENTE 

Confirmado primeiro caso de metroviário contaminado por coronavírus

Outros 6 trabalhadores estão com suspeit…",2020-03-20
mestreurbano,RT @JogaoD20: Vocês já devem ter notado que diversas editoras estão concedendo jogos gratuitos devido ao Coronavirus. Para facilitar a sua…,2020-03-20
castellarinando,"@Miltonneves Depois que a Guerra Contra o Coronavirus terminar , o PCC responderá nos Tribunais Internacionais",2020-03-20
_Claudio_Leal,RT @bocaonews: Bahia tem segundo São João cancelado em razão do Coronavírus #bahia #saojoao #covid19 #coronavirus #bnews https://t.co/4RGP4…,2020-03-20
DanielGuedelha,"O coronavirus tem sido notícia nas últimas semanas. Neste contexto é interessante refletir de que forma as novas tecnologias podem ajudar a detetar estas doenças, de modo a contribuírem de forma positiva para medidas de controlo.

https://t.co/FgIORlZjwO https://t.co/EapHYXn4be",2020-03-20
batcapello,"RT @CoronavirusBra1: Linha do tempo do #coronavirus no mundo:

- 19 de janeiro: 100 casos
- 24 de janeiro: 1.000 casos
- 28 de janeiro: 5.0…",2020-03-20
maripguzzo,RT @geocaio: Daniel caindo na prova do líder é Deus dando a nós um sopro de felicidade em época de coronavirus,2020-03-20
marccos_joao,RT @geocaio: Daniel caindo na prova do líder é Deus dando a nós um sopro de felicidade em época de coronavirus,2020-03-20
GrupoMetropole,"Coronavírus: prefeitura interdita Unijorge, Uninassau e mais 8 instituições de ensino por burlarem decreto https://t.co/FvTtonfpdG",2020-03-20
CostaVerdeDR,Caribe Tours anuncia medidas para contrarrestar coronavirus - https://t.co/A2eMyFMqPe https://t.co/9n0tZU4gqh,2020-03-20
Mdamelo,"RT @CBNCuritiba: A URBS determinou que como medida de prevenção ao coronavirus, o número de veículos será reduzido e o transporte vai funci…",2020-03-20
OsAmigosdaOnca,Assembleia Legislativa vai votar calamidade pública do RN por conta do coronavírus ☛  https://t.co/xjtvrKOUaK,2020-03-20
caarolpereir1,"RT @udezinho: Em 2025.
-Mãe você me deu 
esse nome pq nasci
 em meio a ipedemia do CoronaVirus ?

- Não diga besteira 
Alcolgelson",2020-03-20
rjdm008,"RT @andrezamatais: 👇
Sobe para 22 o total de pessoas que estiveram com Bolsonaro nos EUA e têm coronavírus @estadao:  https://t.co/h3xFT9yY…",2020-03-20
prelciodesouza,"RT @rodrigodasilva: 12. Em janeiro, a polícia ainda controlava as informações, tratando o coronavírus como um boato. Em Wuhan, esse era o d…",2020-03-20
SturtSilva,"RT @delucca: Falta teste de coronavírus no Brasil porque o Bolsonaro está fazendo todos

https://t.co/Ipy27f7fLV",2020-03-20
Heloise_Barros,A coisa ruim de fazer niver hoje em época de coronavirus é que ninguém vai me dar abraço :/,2020-03-20
brilhodosol60,RT @linsaquiles: Já são 22 pessoas com Coronavirus na comitiva de Bolsonaro que foi aos EUA. A Wuhan brasileira é o Palácio do Planalto.,2020-03-20
rlalves1988,"RT @FatosEsquerda: Coloquem o capacete de alumínio junto comigo.

E se o Coronavirus for uma arma biológica de redução populacional do mund…",2020-03-20
AMARAL_15_,RT @miguelinferno23: RT se não queres apanhar coronavirus 😷 https://t.co/oCUJtBGluk,2020-03-20
ErickMotaTV,"RT @rosana: Paises que já passaram pelo pico da epidemia de coronavirus são nossos  WAZE: eles nos informam o que vem pela frente. 
Se tem…",2020-03-20
EltonOstrev,Forrozão Coronavírus: Cantor cria música e viraliza mais que o vírus – Vídeo https://t.co/ASyGqCrG2S via @DIA.news,2020-03-20
loreenabezerra,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
DanielOpotiguar,"Coronavírus: Bolsonaro x Governadores
https://t.co/ldvNmSQ8HM",2020-03-20
agendabafafa,"Prefeitura toma novas ações para conter a pandemia

Nesta quinta-feira (19/03), a Prefeitura atualizou resumo com as principais medidas adotadas, até o momento, para conter o contágio do coronavírus (Covid-19) na… https://t.co/LJT9NKKSis",2020-03-20
ptribeirao,"Estado de Mato Grosso registra 1º caso de coronavírus | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/D3KRh7m2vk

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT",2020-03-20
rokspica,RT @alefrota77: Vamos falar a verdade Bolsonaro trouxe um avião de Coronavirus p Brasil.,2020-03-20
luizfalvesjr,Pelo visto os trabalhadores da construção civil são imunes ao coronavirus. As obras em volta de casa não páram!,2020-03-20
ptribeirao,"Mortes por coronavírus já passam de 10 mil em todo o mundo | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/UawVUOR64V

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT",2020-03-20
DebiasiScherer,RT @revistaforum: Jair Bolsonaro foi incapaz de controlar a propagação do coronavírus no próprio Palácio do Planalto. Servidores vivem cená…,2020-03-20
betoatpaschoal1,"RT @BecaBrix: 🔅Filme PROFÉTICO lançado em 2011 fala do vírus ""Coronavirus"" que começa na China e se espalha para o resto do mundo.
O mais e…",2020-03-20
