user,text,created_at
R_Ramba09,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
AdsCria,@omauriciolf @futebol_info @Flamengo Ele está correndo sozinho e não esqueça que o teste dele deu negativo. Ele não é portador do Covid-19. Perigo nenhum em ele correr sozinho ao redor do Condomínio.,2020-03-20
tbnaomateijoana,"RT @dw_brasil: Mortes por #coronavirus passam de 10 mil no mundo: 
casos diagnosticados de #COVID19 são mais de 244 mil, e mais de 86 mil p…",2020-03-20
richtozz,RT @startupdareal: O prédio que eu moro enviou um aviso dizendo que liberou a equipe de limpeza por causa do COVID-19 e que os moradores de…,2020-03-20
ptribeirao,"Covid-19: quem vai colher os erros de Bolsonaro? | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/KL4v3gLZuT

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT https://t.co/sdKgMGFW1d",2020-03-20
domingosdamota,"Covid-19. Coro de Coimbra canta Zeca Afonso para ""gritar a esperança"" https://t.co/yLXB38O356 via @noticiaaominuto",2020-03-20
peaarchno,"RT @LEN_Brasil: Maricá ainda não teve nenhum caso de Covid-19 confirmado, mas claro, aqui não teve passeata fascista. Mesmo assim vamos ina…",2020-03-20
laura_alc4ntara,RT @_helenar__: Me covid 19 vezes pra beija essa sua boca porfavo,2020-03-20
RehemNascimento,"RT @proindio: Amazonas: mais de 800 km até um respirador | Na iminência de um surto de Covid-19, 60% dos municípios brasileiros não têm nen…",2020-03-20
acsbuarque,RT @petitesvieilles: Petição pro presidente do Brasil pós COVID-19 (seja lá quem ele for) instaurar mais 5 dias de carnaval pro brasileiro…,2020-03-20
anajuol_,RT @JKnowlles: Quarentena não é férias!!! #covid19 https://t.co/OzLIhlUIO5,2020-03-20
idkbutIdcare,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
onlydeborahh,RT @_helenar__: Me covid 19 vezes pra beija essa sua boca porfavo,2020-03-20
Cadeoaras_,RT @o_antagonista: Covid-19: o impacto da pandemia na dinâmica eleitoral. https://t.co/Dn5dQXgAPK,2020-03-20
cammilasilva1,"RT @moraesbrunita: Meu Deus, meu sonho q esse COVID-19 acabasse logo!!!",2020-03-20
Sahmirandix,RT @_helenar__: Me covid 19 vezes pra beija essa sua boca porfavo,2020-03-20
Evandro59171206,"RT @ROBOLSOMOROIII: Prendeu o medico que tentou alertar sobre o COVID-19.

Consequência ?

9115 MORTES !
9115 MORTES ! 
9115 MORTES !
9115…",2020-03-20
victoria_mylla,"RT @joyceluzzz: Utilidade pública: 

Se você mora em Brasília e está com os sintomas do covid-19  ligue no número 199 ( portal Corona vírus…",2020-03-20
hstcris,"RT @dw_brasil: Mortes por #coronavirus passam de 10 mil no mundo: 
casos diagnosticados de #COVID19 são mais de 244 mil, e mais de 86 mil p…",2020-03-20
aluiziodeoliv11,@filipecoutinho Não difere do Macedo atrelando o COVID-19 ao satanás ou ao Malafaia obtendo liminar garantindo seus cultos. Refletem a lógica olavobolsonariana,2020-03-20
pierrebomfim,RT @jc_pe: Recolhimento de máscaras mostra governo de Pernambuco sem suprimentos para enfrentar covid-19 https://t.co/68DnbuWE1x https://t.…,2020-03-20
nicosbandito,"RT @bielsiqueiraRJ: “Fiquem tranquilos , nosso governo está pronto para enfrentar o coronavírus”

O governo:

COVID-19 #NaQuarentenaEu #vir…",2020-03-20
BernardoJesena,RT @factosdabanda: Estão a forçar o #covid19 em Angola porquê?? Vos fizemos quê?? https://t.co/N4ETexlOn5,2020-03-20
duquesadopop,"RT @jnascim: GRAVE: Governo corta 158 mil do Bolsa Família em meio a #COVID19; 61% são do Nordeste, por @carlosmadeiro via @UOLNoticias @UO…",2020-03-20
replickbr,"#Covid_19 Confira a diferença de sintomas entre covid-19, resfriado e gripe. 
Lembre-se: se estiver com sintomas respiratórios NÃO saia de casa e procure serviços de saúde APENAS com sintomas de gravidade. https://t.co/LTERpYE5LT",2020-03-20
PedroVictorMa12,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
Nilton_fessor,RT @DanielSFurlan: Apenas quando a primeira banda jovem ruim chamada COVID-19 aparecer que saberemos que o pico da pandemia já passou. Até…,2020-03-20
Farmaloucos,"Diante das notícias sobre uso de medicamentos que contêm hidroxicloroquina e cloroquina para tratar a Covid-19, a Anvisa esclarece que não há estudos conclusivos que comprovam o uso desses medicamentos para o… https://t.co/sFusEw8RmA",2020-03-20
nalumelo_,RT @otrapzin: covid 19? desculpa eu entendi convite pra ficar de love,2020-03-20
djalepeixoto,"RT @carapanarana: O COVARDE-17 vai acabar fazendo mais vítimas que o COVID-19.

https://t.co/QYdc5k9l55",2020-03-20
BeckIsBeutfiul,RT @_helenar__: Me covid 19 vezes pra beija essa sua boca porfavo,2020-03-20
tribunaribeirao,"Covid-19: sessão da Câmara é vapt-vuptRibeirão
 https://t.co/9qyqMUnb9U https://t.co/2nbGMR3lI0",2020-03-20
Sadwalker1,RT @giovanakury: Maranhão e Piauí são os únicos estados do Nordeste sem casos confirmados de COVID-19. Aquela história de fechar as frontei…,2020-03-20
analusouzax,"RT @bielsiqueiraRJ: “Fiquem tranquilos , nosso governo está pronto para enfrentar o coronavírus”

O governo:

COVID-19 #NaQuarentenaEu #vir…",2020-03-20
alagoasprev,"Em virtude da pandemia do Covid-19, estamos com algumas mudanças no atendimento ao público. A intenção é proteger nossos segurados que representam, em sua maioria, o grupo de risco.

Esperamos que em breve possamos… https://t.co/2QuCEkjxrO",2020-03-20
ragnarokkrr,"RT @conexaopolitica: Bolsonaro “é muito popular no Brasil; o povo o ama”, diz Donald Trump em coletiva sobre Covid-19
https://t.co/e9T1PJsc…",2020-03-20
quiVergonha,"que necessitam dele para uso fiquem sem. Notícias sobre medicamentos usado para o tratamento do COVID-19, não são para ser replicadas em casa, as médicos estão fazendo os testes de medicamentos em hospitais, com aparelhamento e com acompanhamento médico, tomar medicamento",2020-03-20
